"Date","GOOG","MSFT","MRK","IDU"
2025-02-28,172.22,396.99,92.25,101.64
2025-02-27,170.21,392.53,90.58,100.1
2025-02-26,174.7,399.73,89.38,102.15
2025-02-25,177.37,397.9,91.43,101.89
2025-02-24,181.19,404,91.27,102.27
2025-02-21,181.58,408.21,89.5,102.6
2025-02-20,186.64,416.13,87.68,102.55
2025-02-19,187.13,414.77,85.6,102.57
2025-02-18,185.8,409.64,83.29,102.15
2025-02-14,186.87,408.43,83.01,101.27
2025-02-13,187.88,410.54,84.42,101.52
2025-02-12,185.43,409.04,85.67,101.28
2025-02-11,187.07,411.44,86.54,101.42
2025-02-10,188.2,412.22,86.4,101.01
2025-02-07,187.14,409.75,87.28,99.93
2025-02-06,193.31,415.82,88.05,100.15
2025-02-05,193.3,413.29,89.67,100.28
2025-02-04,207.71,412.37,90.74,99.29
2025-02-03,202.64,410.92,99.79,100.13
2025-01-31,205.6,415.06,98.82,99.46
2025-01-30,202.63,414.99,98.95,100.15
2025-01-29,197.18,442.33,98.28,97.72
2025-01-28,197.07,447.2,97.45,97.82
2025-01-27,193.77,434.56,97.94,99.05
2025-01-24,201.9,444.06,95.55,100.85
2025-01-23,199.58,446.71,96.63,99.9
2025-01-22,200.03,446.2,95.68,99.61
2025-01-21,199.63,428.5,96.24,101.64
2025-01-17,197.55,429.03,97.92,100.14
2025-01-16,194.41,424.58,100.7,100.02
2025-01-15,196.98,426.31,100.09,97.73
2025-01-14,191.05,415.67,99.65,96.35
2025-01-13,192.29,417.19,100.98,95.33
2025-01-10,193.17,418.95,99.25,96.25
2025-01-08,195.39,424.56,99.85,96.81
2025-01-07,196.71,422.37,101.02,96.68
2025-01-06,197.96,427.85,99.72,96.81
2025-01-03,193.13,423.35,99.14,97.66
2025-01-02,190.63,418.58,99.17,96.68
2024-12-31,190.44,421.5,99.48,96.21
2024-12-30,192.69,424.83,98.37,96.3
2024-12-27,194.04,430.53,99.7,96.74
2024-12-26,197.1,438.11,99.87,97.01
2024-12-24,197.57,439.33,99.45,97.22
2024-12-23,195.99,435.25,99.37,96.68
2024-12-20,192.96,436.6,98.05,96.42
2024-12-19,189.7,437.03,99.52,95.17
2024-12-18,190.15,437.39,98.34,94.65
2024-12-17,197.12,454.46,100.06,96.91
2024-12-16,198.16,451.59,100.06,98.21
2024-12-13,191.38,447.27,102,98.93
2024-12-12,193.63,449.56,101.25,98.88
2024-12-11,196.71,448.99,99.75,99.07
2024-12-10,186.53,443.33,101,99.59
2024-12-09,177.1,446.02,103.79,100.22
2024-12-06,176.49,443.57,103.09,101.55
2024-12-05,174.31,442.62,103.55,102.79
2024-12-04,176.09,437.42,101.37,102.57
2024-12-03,173.02,431.2,101.85,102.62
2024-12-02,172.98,430.98,100.61,103.41
2024-11-29,170.49,423.46,101.64,105.57
2024-11-27,170.82,422.99,103.12,105.52
2024-11-26,170.62,427.99,101.62,105.49
2024-11-25,169.43,418.79,101.16,104.01
2024-11-22,166.57,417,99.18,103.64
2024-11-21,169.24,412.87,99.86,104.03
2024-11-20,177.33,415.49,97.44,102.31
2024-11-19,179.58,417.79,96.54,102.15
2024-11-18,176.8,415.76,96.56,101.62
2024-11-15,173.89,415,96.31,100.82
2024-11-14,177.35,426.89,98.36,99.56
2024-11-13,180.49,425.2,98.5,100.19
2024-11-12,183.32,423.03,98.58,100.23
2024-11-11,181.97,418.01,100.73,101.27
2024-11-08,179.86,422.54,102.92,100.93
2024-11-07,182.28,425.43,101.17,99.19
2024-11-06,178.33,420.18,100.73,99
2024-11-05,171.41,411.46,101.65,99.65
2024-11-04,170.68,408.46,101.87,98.12
2024-11-01,172.65,410.37,101.88,99.15
2024-10-31,172.69,406.35,102.32,101.19
